Indice;Fecha_larga;Fecha_AAAAMMDD;B1;B2;B3;B4;B5;B6;C;R;Recaudación;Bote;ACE;PCE;AC1;PC1;AC2;PC2;AC3;PC3;AC4;PC4;AC5;PC5;ACR;PCR
48; Resultado del  jueves 21 de mayo de 2020;20200521; 02; 05; 09; 21; 34; 49;22;2;9.423.825,00;3.100.000;0;0,00;5;223.176,42;0;0,00;154;3.441,84;9.885;59,27;181.377;8,00;920.431;1,00
49; Resultado del  sábado 14 de marzo de 2020;20200314; 09; 20; 31; 34; 37; 45;44;7;10.560.880,00;2.400.000;0;0,00;1;1.424.814,40;3;71.240,72;130;3.562,04;7.480;100,00;148.795;8,00;1.144.400;1,00
50; Resultado del  jueves 12 de marzo de 2020;20200312; 13; 15; 16; 27; 38; 49;07;0;11.399.163,00;0;0;0,00;1;1.344.623,74;12;16.807,80;301;1.451,84;12.934;54,58;221.008;8,00;1.049.272;1,00
51; Resultado del  sábado 7 de marzo de 2020;20200307; 03; 05; 16; 22; 29; 33;01;4;11.969.538,00;11.500.000;1;10.262.006,10;2;684.805,62;7;29.348,81;257;1.732,00;14.323;50,20;245.283;8,00;1.201.475;1,00
52; Resultado del  jueves 5 de marzo de 2020;20200305; 05; 15; 19; 27; 46; 49;39;3;12.582.568,00;11.000.000;0;0,00;2;728.143,12;1;218.442,94;258;1.834,47;14.119;54,15;252.680;8,00;1.278.583;1,00
53; Resultado del  sábado 29 de febrero de 2020;20200229; 03; 17; 28; 36; 41; 47;49;4;11.913.026,00;10.000.000;0;0,00;1;1.474.155,88;6;36.853,90;259;1.849,81;11.914;64,96;209.434;8,00;1.185.131;1,00
54; Resultado del  jueves 27 de febrero de 2020;20200227; 16; 18; 24; 25; 34; 42;11;7;12.455.417,00;7.800.000;0;0,00;0;0,00;2;117.639,41;180;2.832,06;10.411;79,10;210.453;8,00;1.335.749;1,00
55; Resultado del  sábado 22 de febrero de 2020;20200222; 07; 12; 25; 31; 37; 44;39;4;11.728.610,00;7.000.000;0;0,00;7;193.405,86;11;18.461,47;499;881,76;16.197;43,88;236.659;8,00;1.158.842;1,00
56; Resultado del  jueves 20 de febrero de 2020;20200220; 03; 15; 18; 23; 31; 39;26;5;12.405.214,00;6.300.000;0;0,00;3;483.311,24;10;21.749,01;336;1.402,47;15.178;50,15;244.689;8,00;1.315.691;1,00
57; Resultado del  sábado 15 de febrero de 2020;20200215; 03; 07; 09; 30; 44; 45;31;9;11.883.470,00;4.200.000;0;0,00;0;0,00;7;29.176,33;199;2.223,66;12.404;57,63;242.957;8,00;1.145.158;1,00
58; Resultado del  jueves 13 de febrero de 2020;20200213; 04; 12; 20; 36; 40; 45;18;0;12.556.496,00;3.500.000;0;0,00;1;1.620.444,48;7;34.723,81;210;2.507,83;10.552;80,62;199.914;8,00;1.160.989;1,00
59; Resultado del  sábado 8 de febrero de 2020;20200208; 04; 20; 25; 28; 46; 49;16;2;11.820.461,00;2.600.000;0;0,00;1;1.489.756,58;5;44.692,70;217;2.231,20;10.899;71,76;199.352;8,00;1.158.446;1,00
60; Resultado del  jueves 6 de febrero de 2020;20200206; 14; 16; 28; 33; 45; 47;18;3;12.054.676,00;0;0;0,00;2;759.860,04;2;113.979,01;285;1.733,01;11.842;67,37;203.163;8,00;1.226.406;1,00
61; Resultado del  sábado 1 de febrero de 2020;20200201; 13; 15; 36; 39; 40; 41;33;1;13.002.092,00;33.000.000;1;32.354.332,15;1;1.668.914,16;6;41.722,85;199;2.725,61;11.501;76,18;209.832;8,00;1.226.461;1,00
62; Resultado del  jueves 30 de enero de 2020;20200130; 19; 25; 28; 29; 34; 42;33;9;13.807.001,00;30.800.000;0;0,00;0;0,00;6;45.130,71;166;3.534,33;10.275;92,24;212.510;8,00;1.329.577;1,00
63; Resultado del  sábado 25 de enero de 2020;20200125; 03; 20; 27; 28; 44; 46;14;7;12.664.443,00;30.000.000;0;0,00;1;1.631.852,54;1;244.777,88;144;3.683,00;9.944;86,15;202.421;8,00;1.360.952;1,00
64; Resultado del  jueves 23 de enero de 2020;20200123; 02; 17; 18; 19; 38; 40;09;1;13.179.335,00;27.500.000;0;0,00;0;0,00;5;51.573,18;194;2.879,95;10.605;85,10;204.117;8,00;1.239.365;1,00
65; Resultado del  sábado 18 de enero de 2020;20200118; 07; 12; 17; 23; 33; 37;44;6;12.794.258,00;25.000.000;0;0,00;0;0,00;6;35.181,60;295;1.550,38;16.099;45,89;279.907;8,00;1.285.725;1,00
66; Resultado del  jueves 16 de enero de 2020;20200116; 01; 12; 17; 18; 30; 46;11;2;13.577.589,00;22.900.000;0;0,00;0;0,00;7;36.783,32;167;3.340,60;11.658;77,30;227.316;8,00;1.337.161;1,00
